kata_tidak_baku,kata_baku
min ,admin
ygy,yang
bgt,sangat
nggak,tidak
egk,tidak
jlz,jelas
blm,belum
tpi,tapi
karna,karena
pls,please
eps,episode
udh,sudah
gak,tidak
yng,yang
mantep,mantap
banget,sangat
nuhun,terima kasih
pisan,sekali
jir,_
anj,anjing
anjjjjjjj,anjing
cuyy,_
waw,wow
aaaaa,_
hhhhe,_
kwwkk,_
nih,_
sison,season
rewacth,tonton ulang
animek,anime
diulangulang, ulang ulang
iniii,ini
seruuu,seru
typeee,tipe
udah,sudah
tau,tahu
bosen,bosan
nonton,menonton
nangis,menangis
ngerti,mengerti
ngumpul,mengumpul
nyari,mencari
ngangak,mengapa
mantau,mengintai
keknya,kayak
biar,agar
donk,dong
mienn,admin
makasih,terima kasih
ketemu,temukan
asik,asyik
jaman,zaman
klo,kalau
sampe,sampai
kasian,kasihan
adek,adik
chanel,channel
vidionya,video
dub,terjemahan
marathon,maraton
isz,_
gpp,tidak apa apa
bhs,bahasa
para ,kumpulan
indo,indonesia
masalaluv,masa lalu
sih ,_
nihh,ini
yey,_
mukul,memukul
brp,berapa
winu,wibu
gitu,begitu
pliss,kumohon
diapus,di hapus
jirr,_
deh,_
jan,jangan
kocak,lucu
hps,hapus
lah,_
lahaku,_
yay,iya
please,mohon
gua,saya
tapii,tapi
udahh,sudah
weh,_
bet,bangat
dah,sudah
a,_
bro,saudara
suhuh,suhu
ngulang,mengulang
cuy,_
yah,iya
dahh,sudah
muah,sayang
behh,_
gak,tidak
aot,attack on titan
kli,kali
gak,tidak
nya,_
aniee,anie
btw,dipikir pikir
cie,asyik
kok,_
ngapain,kenapa
koq,_
bgm,bagaimana
camkan,ingat
sautadatara,saudara
sodara,saudara
bemana,bagaimana
kerna,karena
huhuhu,_
hhh,_
hh,_
hhhh,_
asmkm, assalamualaikum
lu,kamu
luh,_
kacian,kasihan
djjal,dajjal
dlm,dalam
oku,aku
kalo,kalau
mah,_
perna,pernah
ame,_
sangat,bangat
lok,_
yesos,yesus
belis,iblis
dong,_
asslkm_assalamualaikum
wrwb,_
hadiir,hadir
klu,kalau
alqur,alquran
alqrn,alquran
odgj,orang gila
bny,banyak
ndk,tidak
ogdj,orang gila
pdt,pendeta
muterr,mutar
muter,mutar
umpetin,sembunyi
napa,kenapa
lha,_
jema,_
atnya,_
oulloh,allah
bhw,bahwa
krn,karena
cuma,cuman
kan,_
tak,tidak
nyongor,bicara
mksdt,maksud
mksd,maksud
otk,otak
gini,begini
loo,_
lo,kamu
gtu,gitu
yth, yang hormat
lho,_
kereenn,keren
ajg,anjing
oeii,_
neh,_
alla,allah
kpn,kapan
ama,sama
ngeblend,beleng
bgst,bangsat
itumah,itu
jgn,jangan
yett,monyet
ajh,saja
kerenn,keren
napa,kenapa
kah,_
kohh,om
pdhal,padahal
pengen,mau
pun,_
kyai, ustadz
ustad,ustadz
brrti,berarti
pke,pakek
siih,_
jdlah,jadi
sblm,sebelum
knp,kenapa
cnda,canda
bc,baca
bca,baca
jg,juga
tu,itu
org,orang
bhng,bohong
dsr,dasar
ket,keterangan
bhong,bohonh
mbok,mabok